非洲	Africa
Kâ-thai-lò-nì-â	Catalogna
Bashkortostan Khiung-fò-koet	Baschiria
Chelyabinsk-chû	Oblast' di Čeljabinsk
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Comunità valenzana
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Castiglia e León
Kurgan-chû	Oblast' di Kurgan
Mô Chhe̍t-tûng	Mao Tse-tung
Tyumen-chû	Oblast' di Tjumen'
Omsk-chû	Oblast' di Omsk
Thai-mí-ngì-ngî	Lingua tamil
Chet-ho̍k	Filosofia
分類:Candidates for speedy deletion	Categoria:Cancellare subito
Altai Khiung-fò-koet	Repubblica dell'Altaj
Kòng-khìm	Pianoforte
Gorno-Altaysk	Gorno-Altajsk
Kemerovo-chû	Oblast' di Kemerovo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Capitalismo
Koet-kâ	Paese (area geografica)
Mìn-chhu̍k	Nazione
Khanty-Mansi Chhṳ-chhṳ-khî	Circondario autonomo degli Chanty-Mansi-Jugra
Yamalo-Nenets Chhṳ-chhṳ-khî	Circondario autonomo Jamalo-Nenec
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Categoria:Astronomia
Khakassia Khiung-fò-koet	Chakassia
Irkutsk-chû	Oblast' di Irkutsk
Sakha Khiung-fò-koet	Sacha-Jacuzia
Khiet-lò-âi-sî-â-ngî	Lingua croata
Hon-pó	Hamburger
Buryatia Khiung-fò-koet	Buriazia
Vû-làn Vû-tet	Ulan-Udė
Amur-chû	Oblast' dell'Amur
Ngi-sṳ̍p Sṳ-ki	XX secolo
Gotha	Gotha
Dijon	Digione
Kâ-thai-lò-nì-â-ngî	Lingua catalana
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Girona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Biologia cellulare
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Banca Mondiale
A-la-pak Liên-mên	Lega araba
Mìn-tsú Tsú-ngi	Democrazia
Chhîn-chhèu (秦朝)	Dinastia Qin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	Organizzazione del Trattato dell'Atlantico del Nord
Chhìn Sṳ Fòng	Qin Shi Huang
Hon-chhèu	Dinastia Han
Hon Vú-ti Liù Chha̍t	Han Wudi
Sâng-vu̍t	Organismo vivente
Kiûn-chú-chṳ	Monarchia
Khiung-fò-koet	Repubblica
Yí-mô-khiù	Badminton
Ngièn-chhèu	Dinastia Yuan
